# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
xiang 	相	c=3 d=2.3208e-140 t=975297
xiang 	祥	c=10 d=3.71149e-107 t=975297
xiang 	箱	c=0 d=2.07311e-78 t=975297
xiang 	翔	c=11 d=3.27459e-14 t=975297
xiang 	響	c=1 d=6.77776e-131 t=975297
xiang 	項	c=15 d=6.96067e-62 t=975297
xiang 	香	c=38 d=1.17895e-25 t=975297
xiang an wu shi 	相安無事	c=1 d=1.48673e-283 t=975297
xiang ba 	想把	c=14 d=1.8727e-28 t=975297
xiang ban fa 	想辦法	c=35 d=5.96364e-08 t=975297
xiang bao 	箱包	c=1 d=5.18458e-155 t=975297
xiang bi 	想必	c=5 d=1.16477e-59 t=975297
xiang bi 	相比	c=35 d=4.56712e-75 t=975297
xiang biao da 	想表達	c=1 d=1.28019e-53 t=975297
xiang bin 	香檳	c=1 d=0 t=975297
xiang bing 	香餅	c=0 d=9.92484e-119 t=975297
xiang bu chu lai 	想不出來	c=1 d=0 t=975297
xiang bu dao 	想不到	c=5 d=7.11263e-22 t=975297
xiang bu liao 	想不了	c=1 d=0 t=975297
xiang bu ming bai 	想不明白	c=1 d=1.42979e-206 t=975297
xiang bu qi 	想不起	c=3 d=4.9235e-107 t=975297
xiang bu qi lai 	想不起來	c=5 d=3.15638e-52 t=975297
xiang bu qing chu 	想不清楚	c=4 d=4.92146e-13 t=975297
xiang bu tong 	想不通	c=4 d=5.38752e-48 t=975297
xiang bu xiang 	想不像	c=1 d=1.71584e-87 t=975297
xiang bu xiang 	想不想	c=3 d=1.60301e-169 t=975297
xiang bu xiang 	香不香	c=2 d=5.48367e-110 t=975297
xiang cai 	湘菜	c=5 d=1.05339e-53 t=975297
xiang cao 	香草	c=1 d=4.14121e-41 t=975297
xiang ce 	相冊	c=33 d=2.02654e-45 t=975297
xiang cha 	相差	c=18 d=4.82812e-23 t=975297
xiang cha bu da 	相差不大	c=1 d=0 t=975297
xiang chang 	香腸	c=4 d=6.55754e-66 t=975297
xiang cheng wei 	想成爲	c=1 d=0 t=975297
xiang chi 	想吃	c=9 d=3.92106e-16 t=975297
xiang chi cha 	想吃茶	c=1 d=0 t=975297
xiang chi dian 	想吃點	c=1 d=1.44337e-82 t=975297
xiang chi rou 	想吃肉	c=1 d=1.75862e-112 t=975297
xiang chi sha 	想吃啥	c=9 d=1.95394e-86 t=975297
xiang chu 	想出	c=2 d=1.62098e-65 t=975297
xiang chu 	相處	c=29 d=1.08384e-06 t=975297
xiang chu lai 	想出來	c=2 d=7.99118e-149 t=975297
xiang chuan 	想穿	c=1 d=6.04411e-48 t=975297
xiang chuan 	相傳	c=9 d=5.51433e-57 t=975297
xiang da 	想打	c=1 d=0 t=975297
xiang dang 	想當	c=1 d=0 t=975297
xiang dang 	相當	c=159 d=0.0190631 t=975297
xiang dang chang 	相當長	c=1 d=2.79092e-163 t=975297
xiang dang chu 	想當初	c=2 d=0 t=975297
xiang dang da 	相當大	c=1 d=6.75818e-97 t=975297
xiang dang duo 	相當多	c=4 d=2.23726e-238 t=975297
xiang dang hao 	相當好	c=1 d=0 t=975297
xiang dang jiu 	相當久	c=1 d=2.77824e-227 t=975297
xiang dang kuai 	相當快	c=1 d=2.06174e-218 t=975297
xiang dang nian 	想當年	c=1 d=4.2858e-33 t=975297
xiang dang ran 	想當然	c=1 d=1.11667e-151 t=975297
xiang dang re 	相當熱	c=1 d=5.2502e-09 t=975297
xiang dang shi 	相當是	c=1 d=7.46386e-89 t=975297
xiang dang yu 	相當於	c=66 d=9.58962e-08 t=975297
xiang dao 	想到	c=35 d=1.43158e-15 t=975297
xiang de 	想的	c=6 d=6.51263e-44 t=975297
xiang de 	香的	c=2 d=7.69379e-93 t=975297
xiang de dao 	想得到	c=1 d=0 t=975297
xiang de mei 	想得美	c=1 d=1.99339e-145 t=975297
xiang deng 	相等	c=2 d=4.50846e-70 t=975297
xiang deng yu 	相等於	c=3 d=2.62528e-296 t=975297
xiang dui 	相對	c=230 d=0.226502 t=975297
xiang dui yu 	相對於	c=16 d=6.98929e-31 t=975297
xiang duo 	想多	c=1 d=2.08832e-16 t=975297
xiang fa 	想法	c=271 d=0.00794669 t=975297
xiang fa 	想發	c=1 d=4.38295e-32 t=975297
xiang fa shi 	想法是	c=1 d=2.29715e-49 t=975297
xiang fan 	相反	c=5 d=1.58753e-55 t=975297
xiang fan kui 	想反饋	c=1 d=6.84327e-09 t=975297
xiang fang she fa 	想方設法	c=1 d=0 t=975297
xiang fu 	相符	c=2 d=0 t=975297
xiang gai 	想改	c=1 d=5.54898e-160 t=975297
xiang gan 	想幹	c=0 d=0 t=975297
xiang gan 	相干	c=1 d=1.32562e-169 t=975297
xiang gang 	香港	c=110 d=0.0569969 t=975297
xiang gang ka 	香港卡	c=6 d=1.37577e-223 t=975297
xiang gang qu 	香港去	c=1 d=0 t=975297
xiang gang ren 	香港人	c=1 d=0 t=975297
xiang gao 	想搞	c=4 d=2.20011e-100 t=975297
xiang gao 	相告	c=1 d=4.65289e-88 t=975297
xiang ge 	像個	c=4 d=1.76972e-39 t=975297
xiang ge 	想個	c=1 d=1.52772e-15 t=975297
xiang gei 	想給	c=7 d=9.37037e-30 t=975297
xiang gei ni 	想給你	c=2 d=1.15196e-76 t=975297
xiang gen 	想跟	c=6 d=1.49819e-50 t=975297
xiang gen ni 	想跟你	c=19 d=1.8024e-19 t=975297
xiang gen wo 	想跟我	c=1 d=0 t=975297
xiang gu 	香菇	c=2 d=1.76671e-19 t=975297
xiang guan 	相關	c=1038 d=1.08048 t=975297
xiang guan lian 	相關連	c=3 d=2.9297e-127 t=975297
xiang guan qun 	相關羣	c=1 d=0 t=975297
xiang guan qun li 	相關羣裏	c=1 d=2.07517e-118 t=975297
xiang guo 	想過	c=26 d=9.02962e-06 t=975297
xiang guo mei 	想過沒	c=1 d=5.61203e-234 t=975297
xiang hao 	想好	c=21 d=7.73417e-37 t=975297
xiang hao le 	想好了	c=1 d=0 t=975297
xiang he 	想喝	c=6 d=2.18558e-169 t=975297
xiang hou 	向後	c=2 d=0 t=975297
xiang hu 	相互	c=104 d=0.00265848 t=975297
xiang hui lai 	想回來	c=0 d=7.77029e-34 t=975297
xiang ji 	相機	c=20 d=3.05155e-37 t=975297
xiang ji 	相繼	c=2 d=6.92293e-145 t=975297
xiang jian 	相煎	c=1 d=0 t=975297
xiang jian 	相間	c=1 d=0 t=975297
xiang jiao 	橡膠	c=2 d=0 t=975297
xiang jiao 	相較	c=1 d=8.91649e-181 t=975297
xiang jiao 	香蕉	c=2 d=0 t=975297
xiang jiao yu 	相較於	c=4 d=1.46683e-154 t=975297
xiang jie 	詳解	c=1 d=0 t=975297
xiang jie he 	相結合	c=1 d=7.05203e-274 t=975297
xiang jin 	想盡	c=1 d=6.44418e-243 t=975297
xiang jin 	相近	c=3 d=7.14249e-130 t=975297
xiang jin 	詳盡	c=4 d=4.0015e-49 t=975297
xiang ju 	相聚	c=1 d=1.38512e-68 t=975297
xiang kai 	想開	c=2 d=0 t=975297
xiang kai dian 	想開點	c=3 d=6.79156e-08 t=975297
xiang kan 	想看	c=5 d=0 t=975297
xiang kan kan 	想看看	c=2 d=2.87151e-145 t=975297
xiang kan xia 	想看下	c=2 d=8.69958e-156 t=975297
xiang kun 	向鯤	c=82 d=5.5994e-54 t=975297
xiang kun 	想坤	c=2 d=3.65499e-101 t=975297
xiang la 	想拉	c=1 d=0 t=975297
xiang la 	香辣	c=1 d=0 t=975297
xiang la shang 	想拉上	c=1 d=0 t=975297
xiang lai 	向來	c=1 d=0 t=975297
xiang lai 	想來	c=14 d=7.04043e-49 t=975297
xiang lai xiang qu 	想來想去	c=1 d=0 t=975297
xiang le 	想了	c=1 d=7.50766e-99 t=975297
xiang le xia 	想了下	c=2 d=5.50424e-153 t=975297
xiang le xiang 	想了想	c=5 d=5.60475e-160 t=975297
xiang lian 	相連	c=1 d=0 t=975297
xiang liang 	響亮	c=2 d=0 t=975297
xiang liao jie 	想瞭解	c=1 d=0 t=975297
xiang lin 	相鄰	c=1 d=0 t=975297
xiang ma fan 	想麻煩	c=1 d=0 t=975297
xiang mai 	想買	c=3 d=1.84515e-177 t=975297
xiang ming bai 	想明白	c=8 d=2.68877e-48 t=975297
xiang mu 	項目	c=2301 d=1.36389 t=975297
xiang mu hui zong 	項目彙總	c=1 d=1.29297e-111 t=975297
xiang mu li 	項目裏	c=1 d=0 t=975297
xiang mu shang 	項目上	c=2 d=2.42014e-56 t=975297
xiang mu tong 	項目通	c=51 d=9.68444e-06 t=975297
xiang mu xian 	項目線	c=7 d=2.18512e-49 t=975297
xiang mu yi qi 	項目一起	c=1 d=3.64001e-229 t=975297
xiang mu zu 	項目組	c=15 d=4.5921e-286 t=975297
xiang nan 	向南	c=2 d=1.45262e-69 t=975297
xiang ni 	像你	c=4 d=1.74237e-91 t=975297
xiang ni 	向你	c=5 d=8.29362e-182 t=975297
xiang ni 	想你	c=7 d=6.13526e-77 t=975297
xiang nian 	想念	c=3 d=1.4084e-117 t=975297
xiang nin 	向您	c=1 d=0 t=975297
xiang nong 	想弄	c=2 d=5.01048e-18 t=975297
xiang nong 	香濃	c=1 d=0 t=975297
xiang nong dian 	想弄點	c=1 d=0 t=975297
xiang pao 	想跑	c=1 d=1.37812e-126 t=975297
xiang pao lu 	想跑路	c=1 d=1.24017e-238 t=975297
xiang pi 	橡皮	c=2 d=9.21555e-128 t=975297
xiang pi jin 	橡皮筋	c=1 d=0 t=975297
xiang pi ni 	橡皮泥	c=1 d=6.46809e-169 t=975297
xiang pian 	相片	c=1 d=0 t=975297
xiang qi 	想起	c=35 d=1.52481e-22 t=975297
xiang qi lai 	想起來	c=23 d=0.000198445 t=975297
xiang qi lai le 	想起來了	c=1 d=2.33537e-96 t=975297
xiang qian 	向前	c=4 d=0.551563 t=975297
xiang qin 	相親	c=4 d=6.16371e-102 t=975297
xiang qin 	鄉親	c=1 d=8.23156e-270 t=975297
xiang qing 	想請	c=1 d=0 t=975297
xiang qing 	詳情	c=363 d=0.000662162 t=975297
xiang qing chu 	想清楚	c=13 d=4.29777e-08 t=975297
xiang qing ye 	詳情頁	c=103 d=1.44042e-58 t=975297
xiang qu 	想去	c=25 d=0.33454 t=975297
xiang quan 	項圈	c=1 d=1.49458e-198 t=975297
xiang rang 	想讓	c=4 d=1.4019e-92 t=975297
xiang rang ni 	想讓你	c=5 d=2.16654e-58 t=975297
xiang rang ta 	想讓他	c=1 d=4.53235e-279 t=975297
xiang ri kui 	向日葵	c=2 d=0 t=975297
xiang sha 	想啥	c=8 d=2.34403e-22 t=975297
xiang shan 	向善	c=3 d=4.07487e-145 t=975297
xiang shan 	香山	c=1 d=4.09529e-145 t=975297
xiang shang 	向上	c=41 d=1.70992e-40 t=975297
xiang shang ji 	向上及	c=1 d=0 t=975297
xiang sheng 	相聲	c=1 d=2.6712e-206 t=975297
xiang shi 	像是	c=12 d=0.0298969 t=975297
xiang shi 	相識	c=1 d=7.09479e-110 t=975297
xiang shou 	享受	c=35 d=2.19645e-10 t=975297
xiang shui 	湘水	c=1 d=1.85855e-27 t=975297
xiang shui 	香水	c=1 d=4.24763e-16 t=975297
xiang shuo 	想說	c=6 d=1.82965e-167 t=975297
xiang si 	像似	c=1 d=7.33406e-206 t=975297
xiang si 	相似	c=14 d=6.94788e-11 t=975297
xiang su 	像素	c=9 d=5.4418e-33 t=975297
xiang su bi 	像素比	c=1 d=5.22118e-32 t=975297
xiang su hua 	像素話	c=1 d=4.15126e-187 t=975297
xiang su tu 	像素圖	c=2 d=3.06235e-136 t=975297
xiang ta 	向他	c=2 d=5.71548e-243 t=975297
xiang tai duo 	想太多	c=1 d=1.73203e-168 t=975297
xiang ti bing lun 	相提並論	c=1 d=3.12936e-186 t=975297
xiang ting 	想聽	c=5 d=2.79873e-09 t=975297
xiang ting ting 	想聽聽	c=2 d=0 t=975297
xiang tong 	想通	c=1 d=0 t=975297
xiang tong 	相同	c=27 d=2.3696e-32 t=975297
xiang tong 	相通	c=2 d=2.41849e-272 t=975297
xiang tong guo 	想通過	c=2 d=1.08167e-100 t=975297
xiang tu 	想吐	c=1 d=0 t=975297
xiang tui 	想推	c=1 d=0 t=975297
xiang wan 	想玩	c=1 d=0 t=975297
xiang wang 	嚮往	c=3 d=2.71544e-164 t=975297
xiang wei 	祥偉	c=2 d=0 t=975297
xiang wei 	翔偉	c=1 d=0 t=975297
xiang wen 	想問	c=3 d=2.27831e-11 t=975297
xiang wen ti 	想問題	c=3 d=1.43881e-133 t=975297
xiang wen xia 	想問下	c=3 d=1.2195e-158 t=975297
xiang wo 	像我	c=11 d=1.94046e-05 t=975297
xiang wo 	想我	c=2 d=6.86638e-78 t=975297
xiang wo zhe 	像我這	c=1 d=5.00951e-192 t=975297
xiang xi 	詳細	c=45 d=0.0109746 t=975297
xiang xi ren wu 	詳細任務	c=1 d=8.8244e-59 t=975297
xiang xia 	向下	c=10 d=1.74883e-17 t=975297
xiang xia 	鄉下	c=1 d=2.17903e-75 t=975297
xiang xian 	象限	c=3 d=0.00285124 t=975297
xiang xiang 	想想	c=146 d=0.670925 t=975297
xiang xiang 	想象	c=27 d=1.53115e-12 t=975297
xiang xiang 	香香	c=3 d=0 t=975297
xiang xiang li 	想象力	c=7 d=8.51536e-22 t=975297
xiang xiang xia 	想象下	c=1 d=1.75474e-86 t=975297
xiang xiang zhong 	想象中	c=14 d=5.64143e-31 t=975297
xiang xin 	相信	c=43 d=2.68977e-23 t=975297
xiang xin li 	向心力	c=1 d=0 t=975297
xiang xin ni 	相信你	c=1 d=1.68306e-66 t=975297
xiang xin wo 	相信我	c=1 d=6.57542e-98 t=975297
xiang xue 	想學	c=2 d=1.26776e-144 t=975297
xiang ya 	象牙	c=1 d=6.8349e-24 t=975297
xiang yang 	像樣	c=2 d=1.6883e-220 t=975297
xiang yao 	想要	c=46 d=0.117068 t=975297
xiang yao ge 	想要個	c=1 d=2.55644e-160 t=975297
xiang yi 	相依	c=1 d=0.501576 t=975297
xiang yi wei ming 	相依爲命	c=1 d=3.1561e-286 t=975297
xiang yi xiang 	想一想	c=2 d=9.71044e-67 t=975297
xiang ying 	相應	c=13 d=1.1459e-14 t=975297
xiang ying 	響應	c=136 d=6.41904e-09 t=975297
xiang ying kuai 	響應快	c=1 d=0 t=975297
xiang ying shi 	響應式	c=22 d=3.02287e-31 t=975297
xiang ying tou 	響應頭	c=2 d=1.83302e-217 t=975297
xiang yong 	想用	c=9 d=7.32503e-74 t=975297
xiang you 	享有	c=3 d=6.53126e-147 t=975297
xiang yu 	相遇	c=3 d=0 t=975297
xiang yue 	相約	c=2 d=1.87266e-204 t=975297
xiang zai 	想在	c=11 d=2.71357e-09 t=975297
xiang zhao 	想找	c=4 d=5.51456e-175 t=975297
xiang zhao dao 	想找到	c=1 d=8.12966e-153 t=975297
xiang zhao ge 	想找個	c=5 d=4.83388e-37 t=975297
xiang zhao ni 	想找你	c=1 d=0 t=975297
xiang zhe 	像這	c=1 d=3.5875e-117 t=975297
xiang zhe 	想着	c=53 d=4.10293e-20 t=975297
xiang zhe teng 	想折騰	c=1 d=3.22508e-70 t=975297
xiang zhe yang 	想這樣	c=2 d=7.13186e-230 t=975297
xiang zhe zhong 	想這種	c=6 d=1.20232e-50 t=975297
xiang zheng 	象徵	c=2 d=5.69666e-263 t=975297
xiang zheng xing 	象徵性	c=13 d=4.83979e-22 t=975297
xiang zhi dao 	想知道	c=2 d=0 t=975297
xiang zhou 	香洲	c=2 d=6.39979e-103 t=975297
xiang zhou qu 	香洲區	c=3 d=0 t=975297
xiang zhuan qian 	想賺錢	c=1 d=8.93862e-122 t=975297
xiang zi 	巷子	c=2 d=2.32577e-77 t=975297
xiang zi 	箱子	c=13 d=1.62518e-66 t=975297
xiang zi xun 	想諮詢	c=1 d=0 t=975297
xiang zong 	翔總	c=2 d=1.36595e-198 t=975297
xiang zou 	想走	c=3 d=4.37238e-84 t=975297
xiang zuo 	向左	c=1 d=0 t=975297
xiang zuo 	想做	c=12 d=7.26644e-09 t=975297
xiao 	孝	c=3 d=1.85239e-223 t=975297
xiao 	小	c=399 d=0.000222852 t=975297
xiao 	效	c=1 d=0.00273237 t=975297
xiao 	曉	c=31 d=1.39857 t=975297
xiao 	校	c=1 d=8.61476e-129 t=975297
xiao 	笑	c=26 d=1.72103e-05 t=975297
xiao 	肖	c=29 d=7.34571e-19 t=975297
xiao 	肴	c=0 d=6.93472e-166 t=975297
xiao 	蕭	c=8 d=2.67982e-199 t=975297
xiao ai 	小愛	c=32 d=7.04794e-53 t=975297
xiao ba wang 	小霸王	c=5 d=4.15115e-133 t=975297
xiao bai 	小白	c=10 d=2.56029e-76 t=975297
xiao bai shu 	小白鼠	c=1 d=0 t=975297
xiao ban ben 	小版本	c=3 d=1.00686e-51 t=975297
xiao ban nian 	小半年	c=1 d=0 t=975297
xiao bang 	肖邦	c=1 d=9.89449e-82 t=975297
xiao bao xian 	小保險	c=1 d=0 t=975297
xiao bei 	小杯	c=1 d=4.17349e-191 t=975297
xiao bei 	小貝	c=0 d=1.26738e-259 t=975297
xiao bei bei 	小貝盃	c=1 d=1.27374e-258 t=975297
xiao ben ben 	小本本	c=5 d=1.44149e-08 t=975297
xiao bing 	小冰	c=134 d=4.97283e-18 t=975297
xiao bo 	小波	c=0 d=5.34902e-141 t=975297
xiao bu 	小步	c=7 d=4.9534e-89 t=975297
xiao bu fen 	小部分	c=2 d=0.00174675 t=975297
xiao cai 	小菜	c=1 d=2.78985e-41 t=975297
xiao cai yuan 	小菜園	c=1 d=0 t=975297
xiao ce 	小冊	c=4 d=1.29226e-38 t=975297
xiao ce zi 	小冊子	c=3 d=4.33463e-78 t=975297
xiao cha guan 	小茶館	c=134 d=0 t=975297
xiao cha qu 	小插曲	c=7 d=6.94484e-94 t=975297
xiao chang 	小廠	c=6 d=2.24585e-48 t=975297
xiao chang 	小腸	c=1 d=5.92121e-71 t=975297
xiao chang jia 	小長假	c=1 d=0 t=975297
xiao cheng 	小城	c=6 d=5.55803e-91 t=975297
xiao cheng du 	小程度	c=8 d=1.57978e-115 t=975297
xiao cheng shi 	小城市	c=4 d=2.93114e-41 t=975297
xiao cheng xu 	小程序	c=598 d=0.135926 t=975297
xiao chi 	小吃	c=3 d=5.17732e-21 t=975297
xiao chou 	小丑	c=3 d=7.88243e-172 t=975297
xiao chu 	笑出	c=1 d=4.27914e-191 t=975297
xiao ci 	消磁	c=1 d=0 t=975297
xiao cong 	小聰	c=20 d=0.000183208 t=975297
xiao cong 	小蔥	c=1 d=2.28998e-71 t=975297
xiao cong 	曉聰	c=378 d=3.95272e-08 t=975297
xiao cuo 	小錯	c=1 d=1.29149e-215 t=975297
xiao da 	小打	c=1 d=0 t=975297
xiao dang jia 	小當家	c=1 d=7.21498e-43 t=975297
xiao dao 	小刀	c=3 d=4.71954e-167 t=975297
xiao dao 	小島	c=1 d=0 t=975297
xiao dao 	小道	c=1 d=2.10767e-95 t=975297
xiao dao xiao xi 	小道消息	c=6 d=1.91666e-95 t=975297
xiao de 	曉得	c=7 d=2.46405e-80 t=975297
xiao deng zi 	小凳子	c=1 d=0 t=975297
xiao di 	小弟	c=4 d=7.84629e-118 t=975297
xiao di fang 	小地方	c=5 d=1.52772e-15 t=975297
xiao dian 	小店	c=4 d=2.76106e-117 t=975297
xiao dian 	笑點	c=2 d=7.48749e-38 t=975297
xiao dian xin 	小點心	c=1 d=0 t=975297
xiao diao cha 	小調查	c=3 d=0 t=975297
xiao diao li tang 	小吊梨湯	c=1 d=0 t=975297
xiao diao yan 	小調研	c=1 d=2.95135e-291 t=975297
xiao ding 	小丁	c=3 d=4.2182e-76 t=975297
xiao dong xi 	小東西	c=2 d=0 t=975297
xiao dou 	小豆	c=1 d=0 t=975297
xiao du 	小賭	c=0 d=0 t=975297
xiao du 	消毒	c=1 d=0 t=975297
xiao du ji chang 	小肚雞腸	c=1 d=2.15641e-158 t=975297
xiao du yi qing 	小賭怡情	c=1 d=0 t=975297
xiao dui 	小隊	c=4 d=2.82347e-123 t=975297
xiao dui wu 	小隊伍	c=1 d=0 t=975297
xiao dui xiang 	小對象	c=1 d=1.54435e-201 t=975297
xiao dui zhang 	小隊長	c=1 d=3.69059e-68 t=975297
xiao e 	小額	c=2 d=9.70053e-55 t=975297
xiao en ai 	小恩愛	c=1 d=2.63169e-119 t=975297
xiao er 	小而	c=0 d=0 t=975297
xiao er ke 	小兒科	c=1 d=5.15471e-234 t=975297
xiao er mei 	小而美	c=2 d=7.21849e-225 t=975297
xiao fan wei 	小範圍	c=9 d=6.78931e-151 t=975297
xiao fang 	效仿	c=1 d=0 t=975297
xiao fang 	校方	c=3 d=0 t=975297
xiao fang 	消防	c=2 d=0 t=975297
xiao fang xiang 	小方向	c=1 d=2.5948e-100 t=975297
xiao fei 	小費	c=1 d=0 t=975297
xiao fei 	消費	c=99 d=0.00813699 t=975297
xiao fei dai 	消費貸	c=3 d=0 t=975297
xiao fei pin 	消費品	c=1 d=0 t=975297
xiao fei quan 	消費券	c=2 d=0 t=975297
xiao fei zhe 	消費者	c=5 d=3.74324e-40 t=975297
xiao fen dui 	小分隊	c=16 d=3.60718e-05 t=975297
xiao fen xiang 	小分享	c=1 d=6.4227e-145 t=975297
xiao gai 	小改	c=17 d=6.22944e-21 t=975297
xiao gai dong 	小改動	c=2 d=9.23745e-09 t=975297
xiao gai lv 	小概率	c=6 d=2.68029e-06 t=975297
xiao gan mao 	小感冒	c=1 d=5.24361e-53 t=975297
xiao ge 	小哥	c=17 d=1.10592e-08 t=975297
xiao ge 	梟哥	c=54 d=3.17522e-52 t=975297
xiao ge ge 	小哥哥	c=14 d=1.22941e-18 t=975297
xiao gong ju 	小工具	c=3 d=6.73293e-53 t=975297
xiao gong si 	小公司	c=3 d=9.51885e-156 t=975297
xiao gong wei 	小工位	c=3 d=0 t=975297
xiao gou 	小狗	c=2 d=2.18261e-153 t=975297
xiao gu niang 	小姑娘	c=3 d=2.3043e-127 t=975297
xiao guan 	小官	c=1 d=2.00825e-291 t=975297
xiao gui mo 	小規模	c=7 d=3.82131e-242 t=975297
xiao guo 	效果	c=175 d=1.44311e-06 t=975297
xiao guo tu 	效果圖	c=1 d=6.28201e-61 t=975297
xiao hai 	小孩	c=32 d=0.0140519 t=975297
xiao hai zi 	小孩子	c=3 d=1.78862e-252 t=975297
xiao hang 	小行	c=2 d=8.38894e-103 t=975297
xiao hao 	小號	c=11 d=9.39463e-31 t=975297
xiao hao 	小豪	c=2 d=1.24899e-105 t=975297
xiao hao 	消耗	c=36 d=9.02779e-33 t=975297
xiao he 	小鶴	c=2 d=0 t=975297
xiao he zi 	小盒子	c=1 d=0 t=975297
xiao hei 	小黑	c=0 d=2.17903e-76 t=975297
xiao hei ban 	小黑版	c=1 d=0 t=975297
xiao hei wu 	小黑屋	c=3 d=2.87384e-37 t=975297
xiao hong 	小紅	c=5 d=1.88588e-81 t=975297
xiao hong hua 	小紅話	c=1 d=9.122e-155 t=975297
xiao hong shu 	小紅書	c=18 d=3.69136e-95 t=975297
xiao hu 	銷戶	c=6 d=2.14367e-59 t=975297
xiao hua 	消化	c=10 d=3.67555e-20 t=975297
xiao hua 	笑話	c=9 d=3.69397e-20 t=975297
xiao huang 	小黃	c=1 d=3.30908e-49 t=975297
xiao hui 	小會	c=15 d=5.14536e-07 t=975297
xiao hui 	曉輝	c=8 d=1.87547e-05 t=975297
xiao hui 	銷毀	c=1 d=4.97017e-305 t=975297
xiao huo 	小夥	c=24 d=7.60736e-19 t=975297
xiao huo ban 	小夥伴	c=195 d=0.000330468 t=975297
xiao huo dong 	小活動	c=1 d=9.34308e-172 t=975297
xiao huo er 	小活兒	c=1 d=9.1896e-183 t=975297
xiao huo ji 	小夥計	c=1 d=0 t=975297
xiao huo zi 	小夥子	c=11 d=9.66756e-15 t=975297
xiao ji 	小記	c=6 d=1.37896e-45 t=975297
xiao ji 	小雞	c=1 d=2.34675e-65 t=975297
xiao ji 	消極	c=3 d=3.78607e-45 t=975297
xiao ji dai man 	消極怠慢	c=1 d=0 t=975297
xiao ji qiao 	小技巧	c=1 d=2.99675e-206 t=975297
xiao jia 	小家	c=2 d=2.72517e-206 t=975297
xiao jia ting 	小家庭	c=2 d=5.51692e-110 t=975297
xiao jian 	消減	c=1 d=4.85862e-97 t=975297
xiao jie 	小姐	c=6 d=1.49259e-06 t=975297
xiao jie 	小節	c=6 d=0 t=975297
xiao jie 	小結	c=25 d=1.21234e-30 t=975297
xiao jie jie 	小姐姐	c=54 d=1.66745e-74 t=975297
xiao jin 	笑金	c=4 d=3.17901e-264 t=975297
xiao jing xi 	小驚喜	c=2 d=0 t=975297
xiao jiu 	小酒	c=1 d=4.11876e-125 t=975297
xiao jiu guan 	小酒館	c=2 d=6.90477e-77 t=975297
xiao jiu wo 	小酒我	c=1 d=4.1394e-124 t=975297
xiao jiu zi 	小舅子	c=8 d=0 t=975297
xiao ju 	小聚	c=2 d=5.05744e-157 t=975297
xiao jun 	小軍	c=0 d=3.29068e-102 t=975297
xiao ka 	消卡	c=1 d=5.4887e-61 t=975297
xiao kan 	小看	c=4 d=1.18374e-102 t=975297
xiao ke ai 	小可愛	c=2 d=0 t=975297
xiao ke tang 	小課堂	c=2 d=3.79357e-127 t=975297
xiao kong long 	小恐龍	c=1 d=0 t=975297
xiao kuai 	小塊	c=3 d=7.10687e-130 t=975297
xiao la jiao 	小辣椒	c=1 d=2.82356e-94 t=975297
xiao lao ban 	肖老闆	c=7 d=1.65536e-106 t=975297
xiao lao po 	小老婆	c=1 d=0 t=975297
xiao lao shi 	肖老師	c=1 d=0 t=975297
xiao le 	小了	c=1 d=2.44642e-25 t=975297
xiao li pin 	小禮品	c=1 d=2.74182e-307 t=975297
xiao li wu 	小禮物	c=1 d=0 t=975297
xiao lian 	笑臉	c=4 d=1.31565e-139 t=975297
xiao liang 	孝良	c=12 d=2.83452e-22 t=975297
xiao liang 	小量	c=2 d=0 t=975297
xiao liang 	銷量	c=6 d=1.83176e-62 t=975297
xiao liang wan 	小兩萬	c=1 d=0 t=975297
xiao liao 	小聊	c=3 d=2.16869e-166 t=975297
xiao liu 	小六	c=3 d=3.19638e-200 t=975297
xiao long 	小龍	c=12 d=1.8175e-264 t=975297
xiao long 	驍龍	c=7 d=4.86146e-192 t=975297
xiao long xia 	小龍蝦	c=5 d=1.10686e-18 t=975297
xiao lu 	小路	c=1 d=0 t=975297
xiao lv 	效率	c=188 d=0.0572796 t=975297
xiao lv di 	效率底	c=1 d=1.25047e-247 t=975297
xiao ma 	小馬	c=5 d=3.91124e-160 t=975297
xiao ma ge 	小馬哥	c=22 d=0.0323869 t=975297
xiao ma yi 	小螞蟻	c=1 d=3.37265e-302 t=975297
xiao mai 	小麥	c=1 d=1.59821e-75 t=975297
xiao mai bu 	小賣部	c=2 d=1.32403e-08 t=975297
xiao mao bing 	小毛病	c=1 d=8.28066e-193 t=975297
xiao mao lv 	小毛驢	c=4 d=4.52336e-50 t=975297
xiao mei 	小美	c=1 d=1.84853e-81 t=975297
xiao mei mei 	小妹妹	c=1 d=2.17248e-304 t=975297
xiao meng 	小萌	c=1 d=7.96462e-147 t=975297
xiao meng chong wu 	小猛寵物	c=1 d=1.63082e-48 t=975297
xiao mi 	小米	c=986 d=0.909373 t=975297
xiao mi cheng se 	小米橙色	c=1 d=0 t=975297
xiao mi feng 	小蜜蜂	c=7 d=8.68443e-18 t=975297
xiao mi ren 	小米人	c=26 d=3.40174e-21 t=975297
xiao mi shang cheng 	小米商城	c=2 d=2.58821e-217 t=975297
